StationName,Latitude,Longitude,SampleDepth_m,SampleDate,depth_band,measure,value
Port Hacking,-34.1192,151.2267,0,2009-02-24,0-5m,Ammonium_mgm3,0
Port Hacking,-34.1192,151.2267,0,2009-02-24,0-5m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,10,2009-02-24,5-10m,Ammonium_mgm3,0.8404019999999998
Port Hacking,-34.1192,151.2267,10,2009-02-24,5-10m,Nitrate_mgm3,1.4006699999999999
Port Hacking,-34.1192,151.2267,20,2009-02-24,10-20m,Ammonium_mgm3,15.967637999999996
Port Hacking,-34.1192,151.2267,20,2009-02-24,10-20m,Nitrate_mgm3,33.61607999999999
Port Hacking,-34.1192,151.2267,0,2009-03-19,0-5m,Ammonium_mgm3,0
Port Hacking,-34.1192,151.2267,0,2009-03-19,0-5m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,10,2009-03-19,5-10m,Ammonium_mgm3,0
Port Hacking,-34.1192,151.2267,10,2009-03-19,5-10m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,20,2009-03-19,10-20m,Ammonium_mgm3,0.8404019999999998
Port Hacking,-34.1192,151.2267,20,2009-03-19,10-20m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,0,2009-04-23,0-5m,Ammonium_mgm3,0.4202009999999999
Port Hacking,-34.1192,151.2267,0,2009-04-23,0-5m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,10,2009-04-23,5-10m,Ammonium_mgm3,0
Port Hacking,-34.1192,151.2267,10,2009-04-23,5-10m,Nitrate_mgm3,1.4006699999999999
Port Hacking,-34.1192,151.2267,20,2009-04-23,10-20m,Ammonium_mgm3,8.964287999999998
Port Hacking,-34.1192,151.2267,20,2009-04-23,10-20m,Nitrate_mgm3,7.003349999999998
Port Hacking,-34.1192,151.2267,0,2009-05-19,0-5m,Ammonium_mgm3,2.1010049999999993
Port Hacking,-34.1192,151.2267,0,2009-05-19,0-5m,Nitrate_mgm3,4.202009999999999
Port Hacking,-34.1192,151.2267,10,2009-05-19,5-10m,Ammonium_mgm3,1.4006699999999999
Port Hacking,-34.1192,151.2267,10,2009-05-19,5-10m,Nitrate_mgm3,2.8013399999999997
Port Hacking,-34.1192,151.2267,20,2009-05-19,10-20m,Ammonium_mgm3,1.5407369999999996
Port Hacking,-34.1192,151.2267,20,2009-05-19,10-20m,Nitrate_mgm3,4.202009999999999
Port Hacking,-34.1192,151.2267,0,2009-06-24,0-5m,Ammonium_mgm3,0.8404019999999998
Port Hacking,-34.1192,151.2267,0,2009-06-24,0-5m,Nitrate_mgm3,8.404019999999997
Port Hacking,-34.1192,151.2267,10,2009-06-24,5-10m,Ammonium_mgm3,0.8404019999999998
Port Hacking,-34.1192,151.2267,10,2009-06-24,5-10m,Nitrate_mgm3,11.205359999999999
Port Hacking,-34.1192,151.2267,20,2009-06-24,10-20m,Ammonium_mgm3,0.8404019999999998
Port Hacking,-34.1192,151.2267,20,2009-06-24,10-20m,Nitrate_mgm3,44.821439999999996
Port Hacking,-34.1192,151.2267,0,2009-07-15,0-5m,Ammonium_mgm3,1.8208709999999997
Port Hacking,-34.1192,151.2267,0,2009-07-15,0-5m,Nitrate_mgm3,29.414069999999995
Port Hacking,-34.1192,151.2267,10,2009-07-15,5-10m,Ammonium_mgm3,2.1010049999999993
Port Hacking,-34.1192,151.2267,10,2009-07-15,5-10m,Nitrate_mgm3,32.21540999999999
Port Hacking,-34.1192,151.2267,20,2009-07-15,10-20m,Ammonium_mgm3,3.081473999999999
Port Hacking,-34.1192,151.2267,20,2009-07-15,10-20m,Nitrate_mgm3,47.62277999999999
Port Hacking,-34.1192,151.2267,0,2009-08-20,0-5m,Ammonium_mgm3,1.8208709999999997
Port Hacking,-34.1192,151.2267,0,2009-08-20,0-5m,Nitrate_mgm3,7.003349999999998
Port Hacking,-34.1192,151.2267,10,2009-08-20,5-10m,Ammonium_mgm3,1.1205359999999998
Port Hacking,-34.1192,151.2267,10,2009-08-20,5-10m,Nitrate_mgm3,7.003349999999998
Port Hacking,-34.1192,151.2267,20,2009-08-20,10-20m,Ammonium_mgm3,1.5407369999999996
Port Hacking,-34.1192,151.2267,20,2009-08-20,10-20m,Nitrate_mgm3,7.003349999999998
Port Hacking,-34.1192,151.2267,0,2009-09-21,0-5m,Ammonium_mgm3,3.501674999999999
Port Hacking,-34.1192,151.2267,0,2009-09-21,0-5m,Nitrate_mgm3,19.609379999999994
Port Hacking,-34.1192,151.2267,10,2009-09-21,5-10m,Ammonium_mgm3,2.2410719999999995
Port Hacking,-34.1192,151.2267,10,2009-09-21,5-10m,Nitrate_mgm3,35.016749999999995
Port Hacking,-34.1192,151.2267,20,2009-09-21,10-20m,Ammonium_mgm3,17.508374999999997
Port Hacking,-34.1192,151.2267,20,2009-09-21,10-20m,Nitrate_mgm3,117.65627999999998
Port Hacking,-34.1192,151.2267,0,2009-09-25,0-5m,Ammonium_mgm3,4.202009999999999
Port Hacking,-34.1192,151.2267,0,2009-09-25,0-5m,Nitrate_mgm3,39.21875999999999
Port Hacking,-34.1192,151.2267,10,2009-09-25,5-10m,Ammonium_mgm3,1.8208709999999997
Port Hacking,-34.1192,151.2267,10,2009-09-25,5-10m,Nitrate_mgm3,18.208709999999996
Port Hacking,-34.1192,151.2267,20,2009-09-25,10-20m,Ammonium_mgm3,1.8208709999999997
Port Hacking,-34.1192,151.2267,20,2009-09-25,10-20m,Nitrate_mgm3,36.41741999999999
Port Hacking,-34.1192,151.2267,0,2009-10-12,0-5m,Ammonium_mgm3,2.3811389999999997
Port Hacking,-34.1192,151.2267,0,2009-10-12,0-5m,Nitrate_mgm3,7.003349999999998
Port Hacking,-34.1192,151.2267,10,2009-10-12,5-10m,Ammonium_mgm3,18.909045
Port Hacking,-34.1192,151.2267,10,2009-10-12,5-10m,Nitrate_mgm3,4.202009999999999
Port Hacking,-34.1192,151.2267,20,2009-10-12,10-20m,Ammonium_mgm3,14.987168999999998
Port Hacking,-34.1192,151.2267,20,2009-10-12,10-20m,Nitrate_mgm3,4.202009999999999
Port Hacking,-34.1192,151.2267,0,2009-10-19,0-5m,Ammonium_mgm3,1.6808039999999995
Port Hacking,-34.1192,151.2267,0,2009-10-19,0-5m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,10,2009-10-19,5-10m,Ammonium_mgm3,1.4006699999999999
Port Hacking,-34.1192,151.2267,10,2009-10-19,5-10m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,20,2009-10-19,10-20m,Ammonium_mgm3,1.6808039999999995
Port Hacking,-34.1192,151.2267,20,2009-10-19,10-20m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,0,2009-11-11,0-5m,Ammonium_mgm3,0.7003349999999999
Port Hacking,-34.1192,151.2267,0,2009-11-11,0-5m,Nitrate_mgm3,1.4006699999999999
Port Hacking,-34.1192,151.2267,10,2009-11-11,5-10m,Ammonium_mgm3,0.8404019999999998
Port Hacking,-34.1192,151.2267,10,2009-11-11,5-10m,Nitrate_mgm3,1.4006699999999999
Port Hacking,-34.1192,151.2267,20,2009-11-11,10-20m,Ammonium_mgm3,1.8208709999999997
Port Hacking,-34.1192,151.2267,20,2009-11-11,10-20m,Nitrate_mgm3,1.4006699999999999
Port Hacking,-34.1192,151.2267,0,2009-12-07,0-5m,Ammonium_mgm3,0.28013399999999994
Port Hacking,-34.1192,151.2267,0,2009-12-07,0-5m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,10,2009-12-07,5-10m,Ammonium_mgm3,0.7003349999999999
Port Hacking,-34.1192,151.2267,10,2009-12-07,5-10m,Nitrate_mgm3,1.4006699999999999
Port Hacking,-34.1192,151.2267,20,2009-12-07,10-20m,Ammonium_mgm3,0.4202009999999999
Port Hacking,-34.1192,151.2267,20,2009-12-07,10-20m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,0,2010-01-20,0-5m,Ammonium_mgm3,1.6808039999999995
Port Hacking,-34.1192,151.2267,0,2010-01-20,0-5m,Nitrate_mgm3,1.4006699999999999
Port Hacking,-34.1192,151.2267,10,2010-01-20,5-10m,Ammonium_mgm3,1.6808039999999995
Port Hacking,-34.1192,151.2267,10,2010-01-20,5-10m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,20,2010-01-20,10-20m,Ammonium_mgm3,1.5407369999999996
Port Hacking,-34.1192,151.2267,20,2010-01-20,10-20m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,0,2010-02-19,0-5m,Ammonium_mgm3,0
Port Hacking,-34.1192,151.2267,0,2010-02-19,0-5m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,10,2010-02-19,5-10m,Ammonium_mgm3,3.501674999999999
Port Hacking,-34.1192,151.2267,10,2010-02-19,5-10m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,20,2010-02-19,10-20m,Ammonium_mgm3,2.1010049999999993
Port Hacking,-34.1192,151.2267,20,2010-02-19,10-20m,Nitrate_mgm3,1.4006699999999999
Port Hacking,-34.1192,151.2267,0,2010-03-17,0-5m,Ammonium_mgm3,0
Port Hacking,-34.1192,151.2267,0,2010-03-17,0-5m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,10,2010-03-17,5-10m,Ammonium_mgm3,0.7003349999999999
Port Hacking,-34.1192,151.2267,10,2010-03-17,5-10m,Nitrate_mgm3,1.4006699999999999
Port Hacking,-34.1192,151.2267,20,2010-03-17,10-20m,Ammonium_mgm3,0
Port Hacking,-34.1192,151.2267,20,2010-03-17,10-20m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,0,2010-04-14,0-5m,Ammonium_mgm3,0.7003349999999999
Port Hacking,-34.1192,151.2267,0,2010-04-14,0-5m,Nitrate_mgm3,1.4006699999999999
Port Hacking,-34.1192,151.2267,10,2010-04-14,5-10m,Ammonium_mgm3,0
Port Hacking,-34.1192,151.2267,10,2010-04-14,5-10m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,20,2010-04-14,10-20m,Ammonium_mgm3,0
Port Hacking,-34.1192,151.2267,20,2010-04-14,10-20m,Nitrate_mgm3,0
Port Hacking,-34.1192,151.2267,0,2010-05-11,0-5m,Ammonium_mgm3,0
Port Hacking,-34.1192,151.2267,0,2010-05-11,0-5m,Nitrate_mgm3,1.4006699999999999
Port Hacking,-34.1192,151.2267,10,2010-05-11,5-10m,Ammonium_mgm3,0.7003349999999999
Port Hacking,-34.1192,151.2267,10,2010-05-11,5-10m,Nitrate_mgm3,1.4006699999999999
Port Hacking,-34.1192,151.2267,20,2010-05-11,10-20m,Ammonium_mgm3,1.5407369999999996
Port Hacking,-34.1192,151.2267,20,2010-05-11,10-20m,Nitrate_mgm3,5.602679999999999
Port Hacking,-34.1192,151.2267,0,2010-06-09,0-5m,Ammonium_mgm3,2.8013399999999997
Port Hacking,-34.1192,151.2267,0,2010-06-09,0-5m,Nitrate_mgm3,11.205359999999999
Port Hacking,-34.1192,151.2267,10,2010-06-09,5-10m,Ammonium_mgm3,2.9414069999999994
Port Hacking,-34.1192,151.2267,10,2010-06-09,5-10m,Nitrate_mgm3,12.606029999999997
Port Hacking,-34.1192,151.2267,20,2010-06-09,10-20m,Ammonium_mgm3,2.3811389999999997
Port Hacking,-34.1192,151.2267,20,2010-06-09,10-20m,Nitrate_mgm3,11.205359999999999
Port Hacking,-34.1192,151.2267,0,2010-07-02,0-5m,Ammonium_mgm3,5.182478999999999
Port Hacking,-34.1192,151.2267,0,2010-07-02,0-5m,Nitrate_mgm3,43.42077
Port Hacking,-34.1192,151.2267,10,2010-07-02,5-10m,Ammonium_mgm3,6.443081999999999
Port Hacking,-34.1192,151.2267,10,2010-07-02,5-10m,Nitrate_mgm3,43.42077
