StationName,Latitude,Longitude,SampleDepth_m,SampleDate,depth_band,measure,value
Darwin,-12.4,130.768,0,2011-06-27,0-5m,Ammonium_mgm3,4.482143999999999
Darwin,-12.4,130.768,0,2011-06-27,0-5m,Nitrate_mgm3,2.8013399999999997
Darwin,-12.4,130.768,10,2011-06-27,5-10m,Ammonium_mgm3,0.28013399999999994
Darwin,-12.4,130.768,10,2011-06-27,5-10m,Nitrate_mgm3,1.4006699999999999
Darwin,-12.4,130.768,14,2011-06-27,10-20m,Ammonium_mgm3,1.5407369999999996
Darwin,-12.4,130.768,14,2011-06-27,10-20m,Nitrate_mgm3,2.8013399999999997
Darwin,-12.4,130.768,0,2011-10-05,0-5m,Ammonium_mgm3,1.1205359999999998
Darwin,-12.4,130.768,0,2011-10-05,0-5m,Nitrate_mgm3,2.8013399999999997
Darwin,-12.4,130.768,10,2011-10-05,5-10m,Ammonium_mgm3,0.5602679999999999
Darwin,-12.4,130.768,10,2011-10-05,5-10m,Nitrate_mgm3,1.4006699999999999
Darwin,-12.4,130.768,20,2011-10-05,10-20m,Ammonium_mgm3,1.4006699999999999
Darwin,-12.4,130.768,20,2011-10-05,10-20m,Nitrate_mgm3,1.4006699999999999
Darwin,-12.4,130.768,0,2012-01-15,0-5m,Ammonium_mgm3,46.50224399999999
Darwin,-12.4,130.768,0,2012-01-15,0-5m,Nitrate_mgm3,26.612729999999992
Darwin,-12.4,130.768,10,2012-01-15,5-10m,Ammonium_mgm3,3.7818089999999995
Darwin,-12.4,130.768,10,2012-01-15,5-10m,Nitrate_mgm3,7.003349999999998
Darwin,-12.4,130.768,20,2012-01-15,10-20m,Ammonium_mgm3,38.93862599999999
Darwin,-12.4,130.768,20,2012-01-15,10-20m,Nitrate_mgm3,5.602679999999999
Darwin,-12.4,130.768,0,2012-01-15,0-5m,Ammonium_mgm3,4.902344999999999
Darwin,-12.4,130.768,0,2012-01-15,0-5m,Nitrate_mgm3,2.8013399999999997
Darwin,-12.4,130.768,10,2012-01-15,5-10m,Ammonium_mgm3,4.202009999999999
Darwin,-12.4,130.768,10,2012-01-15,5-10m,Nitrate_mgm3,2.8013399999999997
