StationName,Latitude,Longitude,SampleDepth_m,SampleDate,depth_band,measure,value
North Stradbroke Island,-27.345,153.562,0,2009-09-17,0-5m,Ammonium_mgm3,1.2606029999999997
North Stradbroke Island,-27.345,153.562,0,2009-09-17,0-5m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,10,2009-09-17,5-10m,Ammonium_mgm3,0.28013399999999994
North Stradbroke Island,-27.345,153.562,10,2009-09-17,5-10m,Nitrate_mgm3,1.4006699999999999
North Stradbroke Island,-27.345,153.562,20,2009-09-17,10-20m,Ammonium_mgm3,5.042411999999999
North Stradbroke Island,-27.345,153.562,20,2009-09-17,10-20m,Nitrate_mgm3,1.4006699999999999
North Stradbroke Island,-27.345,153.562,0,2009-10-07,0-5m,Ammonium_mgm3,3.081473999999999
North Stradbroke Island,-27.345,153.562,0,2009-10-07,0-5m,Nitrate_mgm3,1.4006699999999999
North Stradbroke Island,-27.345,153.562,10,2009-10-07,5-10m,Ammonium_mgm3,2.5212059999999994
North Stradbroke Island,-27.345,153.562,10,2009-10-07,5-10m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,20,2009-10-07,10-20m,Ammonium_mgm3,3.7818089999999995
North Stradbroke Island,-27.345,153.562,20,2009-10-07,10-20m,Nitrate_mgm3,1.4006699999999999
North Stradbroke Island,-27.345,153.562,0,2009-10-15,0-5m,Ammonium_mgm3,8.404019999999997
North Stradbroke Island,-27.345,153.562,0,2009-10-15,0-5m,Nitrate_mgm3,4.202009999999999
North Stradbroke Island,-27.345,153.562,10,2009-10-15,5-10m,Ammonium_mgm3,14.707034999999998
North Stradbroke Island,-27.345,153.562,10,2009-10-15,5-10m,Nitrate_mgm3,5.602679999999999
North Stradbroke Island,-27.345,153.562,20,2009-10-15,10-20m,Ammonium_mgm3,6.3030149999999985
North Stradbroke Island,-27.345,153.562,20,2009-10-15,10-20m,Nitrate_mgm3,4.202009999999999
North Stradbroke Island,-27.345,153.562,0,2009-10-22,0-5m,Ammonium_mgm3,1.9609379999999998
North Stradbroke Island,-27.345,153.562,0,2009-10-22,0-5m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,10,2009-10-22,5-10m,Ammonium_mgm3,0
North Stradbroke Island,-27.345,153.562,10,2009-10-22,5-10m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,20,2009-10-22,10-20m,Ammonium_mgm3,2.5212059999999994
North Stradbroke Island,-27.345,153.562,20,2009-10-22,10-20m,Nitrate_mgm3,1.4006699999999999
North Stradbroke Island,-27.345,153.562,0,2009-11-02,0-5m,Ammonium_mgm3,2.6612729999999996
North Stradbroke Island,-27.345,153.562,0,2009-11-02,0-5m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,10,2009-11-02,5-10m,Ammonium_mgm3,2.8013399999999997
North Stradbroke Island,-27.345,153.562,10,2009-11-02,5-10m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,20,2009-11-02,10-20m,Ammonium_mgm3,3.2215409999999993
North Stradbroke Island,-27.345,153.562,20,2009-11-02,10-20m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,0,2009-11-16,0-5m,Ammonium_mgm3,2.6612729999999996
North Stradbroke Island,-27.345,153.562,0,2009-11-16,0-5m,Nitrate_mgm3,1.4006699999999999
North Stradbroke Island,-27.345,153.562,10,2009-11-16,5-10m,Ammonium_mgm3,1.5407369999999996
North Stradbroke Island,-27.345,153.562,10,2009-11-16,5-10m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,20,2009-11-16,10-20m,Ammonium_mgm3,1.2606029999999997
North Stradbroke Island,-27.345,153.562,20,2009-11-16,10-20m,Nitrate_mgm3,1.4006699999999999
North Stradbroke Island,-27.345,153.562,0,2009-12-16,0-5m,Ammonium_mgm3,1.6808039999999995
North Stradbroke Island,-27.345,153.562,0,2009-12-16,0-5m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,10,2009-12-16,5-10m,Ammonium_mgm3,1.6808039999999995
North Stradbroke Island,-27.345,153.562,10,2009-12-16,5-10m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,20,2009-12-16,10-20m,Ammonium_mgm3,9.244421999999998
North Stradbroke Island,-27.345,153.562,20,2009-12-16,10-20m,Nitrate_mgm3,5.602679999999999
North Stradbroke Island,-27.345,153.562,0,2010-01-22,0-5m,Ammonium_mgm3,0.4202009999999999
North Stradbroke Island,-27.345,153.562,0,2010-01-22,0-5m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,10,2010-01-22,5-10m,Ammonium_mgm3,0
North Stradbroke Island,-27.345,153.562,10,2010-01-22,5-10m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,20,2010-01-22,10-20m,Ammonium_mgm3,0
North Stradbroke Island,-27.345,153.562,20,2010-01-22,10-20m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,0,2010-02-15,0-5m,Ammonium_mgm3,0.28013399999999994
North Stradbroke Island,-27.345,153.562,0,2010-02-15,0-5m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,10,2010-02-15,5-10m,Ammonium_mgm3,0.28013399999999994
North Stradbroke Island,-27.345,153.562,10,2010-02-15,5-10m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,20,2010-02-15,10-20m,Ammonium_mgm3,0
North Stradbroke Island,-27.345,153.562,20,2010-02-15,10-20m,Nitrate_mgm3,1.4006699999999999
North Stradbroke Island,-27.345,153.562,0,2010-03-23,0-5m,Ammonium_mgm3,0.5602679999999999
North Stradbroke Island,-27.345,153.562,0,2010-03-23,0-5m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,10,2010-03-23,5-10m,Ammonium_mgm3,0
North Stradbroke Island,-27.345,153.562,10,2010-03-23,5-10m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,20,2010-03-23,10-20m,Ammonium_mgm3,0
North Stradbroke Island,-27.345,153.562,20,2010-03-23,10-20m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,0,2010-04-12,0-5m,Ammonium_mgm3,3.6417419999999994
North Stradbroke Island,-27.345,153.562,0,2010-04-12,0-5m,Nitrate_mgm3,1.4006699999999999
North Stradbroke Island,-27.345,153.562,10,2010-04-12,5-10m,Ammonium_mgm3,0
North Stradbroke Island,-27.345,153.562,10,2010-04-12,5-10m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,20,2010-04-12,10-20m,Ammonium_mgm3,0.4202009999999999
North Stradbroke Island,-27.345,153.562,20,2010-04-12,10-20m,Nitrate_mgm3,2.8013399999999997
North Stradbroke Island,-27.345,153.562,0,2010-05-21,0-5m,Ammonium_mgm3,1.5407369999999996
North Stradbroke Island,-27.345,153.562,0,2010-05-21,0-5m,Nitrate_mgm3,1.4006699999999999
North Stradbroke Island,-27.345,153.562,10,2010-05-21,5-10m,Ammonium_mgm3,1.5407369999999996
North Stradbroke Island,-27.345,153.562,10,2010-05-21,5-10m,Nitrate_mgm3,4.202009999999999
North Stradbroke Island,-27.345,153.562,20,2010-05-21,10-20m,Ammonium_mgm3,1.6808039999999995
North Stradbroke Island,-27.345,153.562,20,2010-05-21,10-20m,Nitrate_mgm3,2.8013399999999997
North Stradbroke Island,-27.345,153.562,0,2010-06-18,0-5m,Ammonium_mgm3,1.8208709999999997
North Stradbroke Island,-27.345,153.562,0,2010-06-18,0-5m,Nitrate_mgm3,1.4006699999999999
North Stradbroke Island,-27.345,153.562,10,2010-06-18,5-10m,Ammonium_mgm3,1.5407369999999996
North Stradbroke Island,-27.345,153.562,10,2010-06-18,5-10m,Nitrate_mgm3,1.4006699999999999
North Stradbroke Island,-27.345,153.562,20,2010-06-18,10-20m,Ammonium_mgm3,1.1205359999999998
North Stradbroke Island,-27.345,153.562,20,2010-06-18,10-20m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,0,2010-07-12,0-5m,Ammonium_mgm3,1.9609379999999998
North Stradbroke Island,-27.345,153.562,0,2010-07-12,0-5m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,10,2010-07-12,5-10m,Ammonium_mgm3,1.1205359999999998
North Stradbroke Island,-27.345,153.562,10,2010-07-12,5-10m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,20,2010-07-12,10-20m,Ammonium_mgm3,1.5407369999999996
North Stradbroke Island,-27.345,153.562,20,2010-07-12,10-20m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,0,2010-08-18,0-5m,Ammonium_mgm3,2.6612729999999996
North Stradbroke Island,-27.345,153.562,0,2010-08-18,0-5m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,10,2010-08-18,5-10m,Ammonium_mgm3,1.2606029999999997
North Stradbroke Island,-27.345,153.562,10,2010-08-18,5-10m,Nitrate_mgm3,0
North Stradbroke Island,-27.345,153.562,20,2010-08-18,10-20m,Ammonium_mgm3,0.28013399999999994
North Stradbroke Island,-27.345,153.562,20,2010-08-18,10-20m,Nitrate_mgm3,1.4006699999999999
