StationName,Latitude,Longitude,SampleDepth_m,SampleDate,depth_band,measure,value
Kangaroo Island,-35.8322,136.4473,0,2009-02-05,0-5m,Ammonium_mgm3,7.143416999999999
Kangaroo Island,-35.8322,136.4473,0,2009-02-05,0-5m,Nitrate_mgm3,2.8013399999999997
Kangaroo Island,-35.8322,136.4473,10,2009-02-05,5-10m,Ammonium_mgm3,2.6612729999999996
Kangaroo Island,-35.8322,136.4473,10,2009-02-05,5-10m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,20,2009-02-05,10-20m,Ammonium_mgm3,9.104354999999998
Kangaroo Island,-35.8322,136.4473,20,2009-02-05,10-20m,Nitrate_mgm3,4.202009999999999
Kangaroo Island,-35.8322,136.4473,0,2009-06-02,0-5m,Ammonium_mgm3,3.7818089999999995
Kangaroo Island,-35.8322,136.4473,0,2009-06-02,0-5m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2009-06-02,5-10m,Ammonium_mgm3,3.081473999999999
Kangaroo Island,-35.8322,136.4473,10,2009-06-02,5-10m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,20,2009-06-02,10-20m,Ammonium_mgm3,1.5407369999999996
Kangaroo Island,-35.8322,136.4473,20,2009-06-02,10-20m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2009-11-16,0-5m,Ammonium_mgm3,1.5407369999999996
Kangaroo Island,-35.8322,136.4473,0,2009-11-16,0-5m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2009-11-16,5-10m,Ammonium_mgm3,7.983818999999998
Kangaroo Island,-35.8322,136.4473,10,2009-11-16,5-10m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2009-11-16,10-20m,Ammonium_mgm3,37.39788899999999
Kangaroo Island,-35.8322,136.4473,20,2009-11-16,10-20m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2009-12-16,0-5m,Ammonium_mgm3,3.081473999999999
Kangaroo Island,-35.8322,136.4473,0,2009-12-16,0-5m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2009-12-16,5-10m,Ammonium_mgm3,6.443081999999999
Kangaroo Island,-35.8322,136.4473,10,2009-12-16,5-10m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2009-12-16,10-20m,Ammonium_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2009-12-16,10-20m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2010-02-16,0-5m,Ammonium_mgm3,11.765627999999998
Kangaroo Island,-35.8322,136.4473,0,2010-02-16,0-5m,Nitrate_mgm3,2.8013399999999997
Kangaroo Island,-35.8322,136.4473,10,2010-02-16,5-10m,Ammonium_mgm3,2.9414069999999994
Kangaroo Island,-35.8322,136.4473,10,2010-02-16,5-10m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,20,2010-02-16,10-20m,Ammonium_mgm3,6.162947999999998
Kangaroo Island,-35.8322,136.4473,20,2010-02-16,10-20m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2010-03-16,0-5m,Ammonium_mgm3,2.6612729999999996
Kangaroo Island,-35.8322,136.4473,0,2010-03-16,0-5m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2010-03-16,5-10m,Ammonium_mgm3,1.6808039999999995
Kangaroo Island,-35.8322,136.4473,10,2010-03-16,5-10m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,20,2010-03-16,10-20m,Ammonium_mgm3,1.9609379999999998
Kangaroo Island,-35.8322,136.4473,20,2010-03-16,10-20m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2010-07-22,0-5m,Ammonium_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2010-07-22,0-5m,Nitrate_mgm3,9.804689999999997
Kangaroo Island,-35.8322,136.4473,10,2010-07-22,5-10m,Ammonium_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2010-07-22,5-10m,Nitrate_mgm3,9.804689999999997
Kangaroo Island,-35.8322,136.4473,20,2010-07-22,10-20m,Ammonium_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2010-07-22,10-20m,Nitrate_mgm3,9.804689999999997
Kangaroo Island,-35.8322,136.4473,0,2010-11-21,0-5m,Ammonium_mgm3,3.081473999999999
Kangaroo Island,-35.8322,136.4473,0,2010-11-21,0-5m,Nitrate_mgm3,8.404019999999997
Kangaroo Island,-35.8322,136.4473,10,2010-11-21,5-10m,Ammonium_mgm3,16.107704999999996
Kangaroo Island,-35.8322,136.4473,10,2010-11-21,5-10m,Nitrate_mgm3,4.202009999999999
Kangaroo Island,-35.8322,136.4473,20,2010-11-21,10-20m,Ammonium_mgm3,16.387838999999996
Kangaroo Island,-35.8322,136.4473,20,2010-11-21,10-20m,Nitrate_mgm3,15.407369999999998
Kangaroo Island,-35.8322,136.4473,0,2010-12-14,0-5m,Ammonium_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2010-12-14,0-5m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2010-12-14,5-10m,Ammonium_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2010-12-14,5-10m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2010-12-14,10-20m,Ammonium_mgm3,8.123885999999997
Kangaroo Island,-35.8322,136.4473,20,2010-12-14,10-20m,Nitrate_mgm3,42.02009999999999
Kangaroo Island,-35.8322,136.4473,0,2011-01-24,0-5m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,10,2011-01-24,5-10m,Nitrate_mgm3,9.804689999999997
Kangaroo Island,-35.8322,136.4473,20,2011-01-24,10-20m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2011-02-23,0-5m,Ammonium_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2011-02-23,0-5m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,10,2011-02-23,5-10m,Ammonium_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2011-02-23,5-10m,Nitrate_mgm3,4.202009999999999
Kangaroo Island,-35.8322,136.4473,0,2011-03-20,0-5m,Ammonium_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2011-03-20,0-5m,Nitrate_mgm3,11.205359999999999
Kangaroo Island,-35.8322,136.4473,10,2011-03-20,5-10m,Ammonium_mgm3,1.5407369999999996
Kangaroo Island,-35.8322,136.4473,10,2011-03-20,5-10m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,20,2011-03-20,10-20m,Ammonium_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2011-03-20,10-20m,Nitrate_mgm3,4.202009999999999
Kangaroo Island,-35.8322,136.4473,0,2011-04-28,0-5m,Ammonium_mgm3,7.143416999999999
Kangaroo Island,-35.8322,136.4473,0,2011-04-28,0-5m,Nitrate_mgm3,4.202009999999999
Kangaroo Island,-35.8322,136.4473,10,2011-04-28,5-10m,Ammonium_mgm3,4.342076999999999
Kangaroo Island,-35.8322,136.4473,10,2011-04-28,5-10m,Nitrate_mgm3,4.202009999999999
Kangaroo Island,-35.8322,136.4473,20,2011-04-28,10-20m,Ammonium_mgm3,3.2215409999999993
Kangaroo Island,-35.8322,136.4473,20,2011-04-28,10-20m,Nitrate_mgm3,5.602679999999999
Kangaroo Island,-35.8322,136.4473,0,2011-07-19,0-5m,Ammonium_mgm3,0.7003349999999999
Kangaroo Island,-35.8322,136.4473,0,2011-07-19,0-5m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2011-07-19,5-10m,Ammonium_mgm3,0.4202009999999999
Kangaroo Island,-35.8322,136.4473,10,2011-07-19,5-10m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,20,2011-07-19,10-20m,Ammonium_mgm3,0.5602679999999999
Kangaroo Island,-35.8322,136.4473,20,2011-07-19,10-20m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2011-10-26,0-5m,Ammonium_mgm3,0.8404019999999998
Kangaroo Island,-35.8322,136.4473,0,2011-10-26,0-5m,Nitrate_mgm3,2.8013399999999997
Kangaroo Island,-35.8322,136.4473,10,2011-10-26,5-10m,Ammonium_mgm3,1.2606029999999997
Kangaroo Island,-35.8322,136.4473,10,2011-10-26,5-10m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,20,2011-10-26,10-20m,Ammonium_mgm3,3.081473999999999
Kangaroo Island,-35.8322,136.4473,20,2011-10-26,10-20m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,0,2011-11-15,0-5m,Ammonium_mgm3,0.28013399999999994
Kangaroo Island,-35.8322,136.4473,0,2011-11-15,0-5m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2011-11-15,5-10m,Ammonium_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2011-11-15,5-10m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2011-11-15,10-20m,Ammonium_mgm3,0.28013399999999994
Kangaroo Island,-35.8322,136.4473,20,2011-11-15,10-20m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2011-12-20,0-5m,Ammonium_mgm3,2.1010049999999993
Kangaroo Island,-35.8322,136.4473,0,2011-12-20,0-5m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2011-12-20,5-10m,Ammonium_mgm3,2.6612729999999996
Kangaroo Island,-35.8322,136.4473,10,2011-12-20,5-10m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2011-12-20,10-20m,Ammonium_mgm3,0.8404019999999998
Kangaroo Island,-35.8322,136.4473,20,2011-12-20,10-20m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2012-01-17,0-5m,Ammonium_mgm3,5.042411999999999
Kangaroo Island,-35.8322,136.4473,0,2012-01-17,0-5m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,10,2012-01-17,5-10m,Ammonium_mgm3,2.8013399999999997
Kangaroo Island,-35.8322,136.4473,10,2012-01-17,5-10m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,20,2012-01-17,10-20m,Ammonium_mgm3,3.081473999999999
Kangaroo Island,-35.8322,136.4473,20,2012-01-17,10-20m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,0,2012-02-15,0-5m,Ammonium_mgm3,1.8208709999999997
Kangaroo Island,-35.8322,136.4473,0,2012-02-15,0-5m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2012-02-15,5-10m,Ammonium_mgm3,1.1205359999999998
Kangaroo Island,-35.8322,136.4473,10,2012-02-15,5-10m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2012-02-15,10-20m,Ammonium_mgm3,0.9804689999999999
Kangaroo Island,-35.8322,136.4473,20,2012-02-15,10-20m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2012-04-15,0-5m,Ammonium_mgm3,3.361607999999999
Kangaroo Island,-35.8322,136.4473,0,2012-04-15,0-5m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2012-04-15,10-20m,Ammonium_mgm3,0.4202009999999999
Kangaroo Island,-35.8322,136.4473,20,2012-04-15,10-20m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,0,2013-08-28,0-5m,Ammonium_mgm3,12.606029999999997
Kangaroo Island,-35.8322,136.4473,0,2013-08-28,0-5m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2013-08-28,5-10m,Ammonium_mgm3,14.566967999999997
Kangaroo Island,-35.8322,136.4473,10,2013-08-28,5-10m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2013-08-28,10-20m,Ammonium_mgm3,0.5602679999999999
Kangaroo Island,-35.8322,136.4473,20,2013-08-28,10-20m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2014-01-22,0-5m,Ammonium_mgm3,1.6808039999999995
Kangaroo Island,-35.8322,136.4473,0,2014-01-22,0-5m,Nitrate_mgm3,2.8013399999999997
Kangaroo Island,-35.8322,136.4473,10,2014-01-22,5-10m,Ammonium_mgm3,7.563617999999999
Kangaroo Island,-35.8322,136.4473,10,2014-01-22,5-10m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2014-01-22,10-20m,Ammonium_mgm3,1.6808039999999995
Kangaroo Island,-35.8322,136.4473,20,2014-01-22,10-20m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,0,2014-03-13,0-5m,Ammonium_mgm3,5.462612999999999
Kangaroo Island,-35.8322,136.4473,0,2014-03-13,0-5m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,10,2014-03-13,5-10m,Ammonium_mgm3,2.9414069999999994
Kangaroo Island,-35.8322,136.4473,10,2014-03-13,5-10m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,20,2014-03-13,10-20m,Ammonium_mgm3,2.5212059999999994
Kangaroo Island,-35.8322,136.4473,20,2014-03-13,10-20m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,0,2014-05-07,0-5m,Ammonium_mgm3,6.162947999999998
Kangaroo Island,-35.8322,136.4473,0,2014-05-07,0-5m,Nitrate_mgm3,7.003349999999998
Kangaroo Island,-35.8322,136.4473,10,2014-05-07,5-10m,Ammonium_mgm3,3.2215409999999993
Kangaroo Island,-35.8322,136.4473,10,2014-05-07,5-10m,Nitrate_mgm3,5.602679999999999
Kangaroo Island,-35.8322,136.4473,20,2014-05-07,10-20m,Ammonium_mgm3,5.322545999999999
Kangaroo Island,-35.8322,136.4473,20,2014-05-07,10-20m,Nitrate_mgm3,2.8013399999999997
Kangaroo Island,-35.8322,136.4473,0,2014-07-13,0-5m,Ammonium_mgm3,2.9414069999999994
Kangaroo Island,-35.8322,136.4473,0,2014-07-13,0-5m,Nitrate_mgm3,7.003349999999998
Kangaroo Island,-35.8322,136.4473,10,2014-07-13,5-10m,Ammonium_mgm3,2.9414069999999994
Kangaroo Island,-35.8322,136.4473,10,2014-07-13,5-10m,Nitrate_mgm3,7.003349999999998
Kangaroo Island,-35.8322,136.4473,20,2014-07-13,10-20m,Ammonium_mgm3,2.6612729999999996
Kangaroo Island,-35.8322,136.4473,20,2014-07-13,10-20m,Nitrate_mgm3,7.003349999999998
Kangaroo Island,-35.8322,136.4473,0,2014-10-29,0-5m,Ammonium_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,0,2014-10-29,0-5m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2014-10-29,5-10m,Ammonium_mgm3,1.2606029999999997
Kangaroo Island,-35.8322,136.4473,10,2014-10-29,5-10m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2014-10-29,10-20m,Ammonium_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,20,2014-10-29,10-20m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2014-12-02,0-5m,Ammonium_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,0,2014-12-02,0-5m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2014-12-02,5-10m,Ammonium_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,10,2014-12-02,5-10m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2014-12-02,10-20m,Ammonium_mgm3,0.7003349999999999
Kangaroo Island,-35.8322,136.4473,20,2014-12-02,10-20m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2015-02-25,0-5m,Ammonium_mgm3,38.93862599999999
Kangaroo Island,-35.8322,136.4473,0,2015-02-25,0-5m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,10,2015-02-25,5-10m,Ammonium_mgm3,2.9414069999999994
Kangaroo Island,-35.8322,136.4473,10,2015-02-25,5-10m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2015-02-25,10-20m,Ammonium_mgm3,1.5407369999999996
Kangaroo Island,-35.8322,136.4473,20,2015-02-25,10-20m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2015-04-09,0-5m,Ammonium_mgm3,7.843751999999999
Kangaroo Island,-35.8322,136.4473,0,2015-04-09,0-5m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2015-04-09,5-10m,Ammonium_mgm3,1.6808039999999995
Kangaroo Island,-35.8322,136.4473,10,2015-04-09,5-10m,Nitrate_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,20,2015-04-09,10-20m,Ammonium_mgm3,1.5407369999999996
Kangaroo Island,-35.8322,136.4473,20,2015-04-09,10-20m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2015-06-30,0-5m,Ammonium_mgm3,6.583148999999998
Kangaroo Island,-35.8322,136.4473,0,2015-06-30,0-5m,Nitrate_mgm3,11.205359999999999
Kangaroo Island,-35.8322,136.4473,10,2015-06-30,5-10m,Ammonium_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2015-06-30,5-10m,Nitrate_mgm3,8.404019999999997
Kangaroo Island,-35.8322,136.4473,20,2015-06-30,10-20m,Ammonium_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2015-06-30,10-20m,Nitrate_mgm3,2.8013399999999997
Kangaroo Island,-35.8322,136.4473,0,2015-09-09,0-5m,Ammonium_mgm3,0.4202009999999999
Kangaroo Island,-35.8322,136.4473,0,2015-09-09,0-5m,Nitrate_mgm3,2.8013399999999997
Kangaroo Island,-35.8322,136.4473,10,2015-09-09,5-10m,Ammonium_mgm3,2.2410719999999995
Kangaroo Island,-35.8322,136.4473,10,2015-09-09,5-10m,Nitrate_mgm3,2.8013399999999997
Kangaroo Island,-35.8322,136.4473,20,2015-09-09,10-20m,Ammonium_mgm3,6.723215999999998
Kangaroo Island,-35.8322,136.4473,20,2015-09-09,10-20m,Nitrate_mgm3,2.8013399999999997
Kangaroo Island,-35.8322,136.4473,0,2015-11-17,0-5m,Ammonium_mgm3,0.8404019999999998
Kangaroo Island,-35.8322,136.4473,0,2015-11-17,0-5m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2015-11-17,5-10m,Ammonium_mgm3,0.28013399999999994
Kangaroo Island,-35.8322,136.4473,10,2015-11-17,5-10m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2015-11-17,10-20m,Ammonium_mgm3,0.5602679999999999
Kangaroo Island,-35.8322,136.4473,20,2015-11-17,10-20m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2016-02-24,0-5m,Ammonium_mgm3,4.622210999999999
Kangaroo Island,-35.8322,136.4473,0,2016-02-24,0-5m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,10,2016-02-24,5-10m,Ammonium_mgm3,2.1010049999999993
Kangaroo Island,-35.8322,136.4473,10,2016-02-24,5-10m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,20,2016-02-24,10-20m,Ammonium_mgm3,1.9609379999999998
Kangaroo Island,-35.8322,136.4473,20,2016-02-24,10-20m,Nitrate_mgm3,0
Kangaroo Island,-35.8322,136.4473,0,2016-05-26,0-5m,Ammonium_mgm3,1.1205359999999998
Kangaroo Island,-35.8322,136.4473,0,2016-05-26,0-5m,Nitrate_mgm3,5.602679999999999
Kangaroo Island,-35.8322,136.4473,10,2016-05-26,5-10m,Ammonium_mgm3,2.3811389999999997
Kangaroo Island,-35.8322,136.4473,10,2016-05-26,5-10m,Nitrate_mgm3,5.602679999999999
Kangaroo Island,-35.8322,136.4473,20,2016-05-26,10-20m,Ammonium_mgm3,1.2606029999999997
Kangaroo Island,-35.8322,136.4473,20,2016-05-26,10-20m,Nitrate_mgm3,5.602679999999999
Kangaroo Island,-35.8322,136.4473,0,2016-09-15,0-5m,Ammonium_mgm3,2.8013399999999997
Kangaroo Island,-35.8322,136.4473,0,2016-09-15,0-5m,Nitrate_mgm3,4.202009999999999
Kangaroo Island,-35.8322,136.4473,10,2016-09-15,5-10m,Ammonium_mgm3,1.5407369999999996
Kangaroo Island,-35.8322,136.4473,10,2016-09-15,5-10m,Nitrate_mgm3,4.202009999999999
Kangaroo Island,-35.8322,136.4473,20,2016-09-15,10-20m,Ammonium_mgm3,1.4006699999999999
Kangaroo Island,-35.8322,136.4473,20,2016-09-15,10-20m,Nitrate_mgm3,4.202009999999999
Kangaroo Island,-35.8322,136.4473,0,2016-11-18,0-5m,Ammonium_mgm3,0
