StationName,Latitude,Longitude,SampleDepth_m,SampleDate,depth_band,measure,value
Maria Island,-42.5967,148.2333,0,2009-04-21,0-5m,Ammonium_mgm3,1.6808039999999995
Maria Island,-42.5967,148.2333,0,2009-04-21,0-5m,Nitrate_mgm3,26.612729999999992
Maria Island,-42.5967,148.2333,10,2009-04-21,5-10m,Ammonium_mgm3,1.6808039999999995
Maria Island,-42.5967,148.2333,10,2009-04-21,5-10m,Nitrate_mgm3,25.212059999999994
Maria Island,-42.5967,148.2333,20,2009-04-21,10-20m,Ammonium_mgm3,1.4006699999999999
Maria Island,-42.5967,148.2333,20,2009-04-21,10-20m,Nitrate_mgm3,26.612729999999992
Maria Island,-42.5967,148.2333,0,2009-05-06,0-5m,Ammonium_mgm3,0.8404019999999998
Maria Island,-42.5967,148.2333,0,2009-05-06,0-5m,Nitrate_mgm3,25.212059999999994
Maria Island,-42.5967,148.2333,10,2009-05-06,5-10m,Ammonium_mgm3,0.4202009999999999
Maria Island,-42.5967,148.2333,10,2009-05-06,5-10m,Nitrate_mgm3,25.212059999999994
Maria Island,-42.5967,148.2333,20,2009-05-06,10-20m,Ammonium_mgm3,0.7003349999999999
Maria Island,-42.5967,148.2333,20,2009-05-06,10-20m,Nitrate_mgm3,25.212059999999994
Maria Island,-42.5967,148.2333,0,2009-06-01,0-5m,Ammonium_mgm3,2.9414069999999994
Maria Island,-42.5967,148.2333,0,2009-06-01,0-5m,Nitrate_mgm3,53.225459999999984
Maria Island,-42.5967,148.2333,10,2009-06-01,5-10m,Ammonium_mgm3,2.8013399999999997
Maria Island,-42.5967,148.2333,10,2009-06-01,5-10m,Nitrate_mgm3,53.225459999999984
Maria Island,-42.5967,148.2333,20,2009-06-01,10-20m,Ammonium_mgm3,0.8404019999999998
Maria Island,-42.5967,148.2333,20,2009-06-01,10-20m,Nitrate_mgm3,53.225459999999984
Maria Island,-42.5967,148.2333,0,2009-07-16,0-5m,Ammonium_mgm3,2.9414069999999994
Maria Island,-42.5967,148.2333,0,2009-07-16,0-5m,Nitrate_mgm3,42.02009999999999
Maria Island,-42.5967,148.2333,10,2009-07-16,5-10m,Ammonium_mgm3,1.5407369999999996
Maria Island,-42.5967,148.2333,10,2009-07-16,5-10m,Nitrate_mgm3,42.02009999999999
Maria Island,-42.5967,148.2333,20,2009-07-16,10-20m,Ammonium_mgm3,1.4006699999999999
Maria Island,-42.5967,148.2333,20,2009-07-16,10-20m,Nitrate_mgm3,42.02009999999999
Maria Island,-42.5967,148.2333,0,2009-08-20,0-5m,Ammonium_mgm3,2.2410719999999995
Maria Island,-42.5967,148.2333,0,2009-08-20,0-5m,Nitrate_mgm3,43.42077
Maria Island,-42.5967,148.2333,10,2009-08-20,5-10m,Ammonium_mgm3,2.2410719999999995
Maria Island,-42.5967,148.2333,10,2009-08-20,5-10m,Nitrate_mgm3,44.821439999999996
Maria Island,-42.5967,148.2333,20,2009-08-20,10-20m,Ammonium_mgm3,0.7003349999999999
Maria Island,-42.5967,148.2333,20,2009-08-20,10-20m,Nitrate_mgm3,46.222109999999994
Maria Island,-42.5967,148.2333,0,2009-09-07,0-5m,Ammonium_mgm3,1.6808039999999995
Maria Island,-42.5967,148.2333,0,2009-09-07,0-5m,Nitrate_mgm3,44.821439999999996
Maria Island,-42.5967,148.2333,10,2009-09-07,5-10m,Ammonium_mgm3,0.14006699999999997
Maria Island,-42.5967,148.2333,10,2009-09-07,5-10m,Nitrate_mgm3,44.821439999999996
Maria Island,-42.5967,148.2333,20,2009-09-07,10-20m,Ammonium_mgm3,0.8404019999999998
Maria Island,-42.5967,148.2333,20,2009-09-07,10-20m,Nitrate_mgm3,44.821439999999996
Maria Island,-42.5967,148.2333,0,2009-10-13,0-5m,Ammonium_mgm3,3.2215409999999993
Maria Island,-42.5967,148.2333,0,2009-10-13,0-5m,Nitrate_mgm3,7.003349999999998
Maria Island,-42.5967,148.2333,10,2009-10-13,5-10m,Ammonium_mgm3,2.9414069999999994
Maria Island,-42.5967,148.2333,10,2009-10-13,5-10m,Nitrate_mgm3,8.404019999999997
Maria Island,-42.5967,148.2333,20,2009-10-13,10-20m,Ammonium_mgm3,3.6417419999999994
Maria Island,-42.5967,148.2333,20,2009-10-13,10-20m,Nitrate_mgm3,14.006699999999997
Maria Island,-42.5967,148.2333,0,2009-11-11,0-5m,Ammonium_mgm3,1.2606029999999997
Maria Island,-42.5967,148.2333,0,2009-11-11,0-5m,Nitrate_mgm3,1.4006699999999999
Maria Island,-42.5967,148.2333,10,2009-11-11,5-10m,Ammonium_mgm3,0.7003349999999999
Maria Island,-42.5967,148.2333,10,2009-11-11,5-10m,Nitrate_mgm3,0
Maria Island,-42.5967,148.2333,20,2009-11-11,10-20m,Ammonium_mgm3,0.8404019999999998
Maria Island,-42.5967,148.2333,20,2009-11-11,10-20m,Nitrate_mgm3,0
Maria Island,-42.5967,148.2333,0,2009-12-07,0-5m,Ammonium_mgm3,0.14006699999999997
Maria Island,-42.5967,148.2333,0,2009-12-07,0-5m,Nitrate_mgm3,1.4006699999999999
