FID,Project,StationName,TripCode,TripDate_UTC,SampleTime_Local,Latitude,Longitude,SecchiDepth_m,SampleDepth_m,SampleID,Salinity,Salinity_flag,DIC_umolkg,DIC_flag,Alkalinity_umolkg,Alkalinity_flag,Oxygen_umolL,Oxygen_flag,Ammonium_umolL,Ammonium_flag,Nitrate_umolL,Nitrate_flag,Nitrite_umolL,Nitrite_flag,Phosphate_umolL,Phosphate_flag,Silicate_umolL,Silicate_flag,TSSorganic_mgL,TSSinorganic_mgL,TSS_mgL,TSSall_flag,Prochlorococcus_cellsmL,Prochlorococcus_flag,Synechococcus_cellsmL,Synechococcus_flag,Picoeukaryotes_cellsmL,Picoeukaryotes_flag,Allo_mgm3,AlphaBetaCar_mgm3,Anth_mgm3,Asta_mgm3,BetaBetaCar_mgm3,BetaEpiCar_mgm3,Butfuco_mgm3,Cantha_mgm3,CphlA_mgm3,CphlB_mgm3,CphlC1_mgm3,CphlC2_mgm3,CphlC3_mgm3,CphlC1C2_mgm3,CphlideA_mgm3,Diadchr_mgm3,Diadino_mgm3,Diato_mgm3,Dino_mgm3,DvCphlA+CphlA_mgm3,DvCphlA_mgm3,DvCphlB+CphlB_mgm3,DvCphlB_mgm3,Echin_mgm3,Fuco_mgm3,Gyro_mgm3,Hexfuco_mgm3,Ketohexfuco_mgm3,Lut_mgm3,Lyco_mgm3,MgDvp_mgm3,Neo_mgm3,Perid_mgm3,PhideA_mgm3,PhytinA_mgm3,PhytinB_mgm3,Pras_mgm3,PyrophideA_mgm3,PyrophytinA_mgm3,Viola_mgm3,Zea_mgm3,Pigments_flag,AustralianMicrobiomeId,geom
combined_bgc_data.fid--1accc36f_191f80e2cba_3c9f,NRS,Darwin,DAR20110627,2011-06-27,2011-06-27 08:45:00,-12.4,130.768,8,0,DAR20110627_0,32.933,1,1922.49,1,2198.3,1,,9,0.32,1,0.2,1,,9,0.39,1,5.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3ca0,NRS,Darwin,DAR20110627,2011-06-27,2011-06-27 08:45:00,-12.4,130.768,8,10,DAR20110627_10,32.905,1,1931.9,1,2201.75,1,,9,0.02,1,0.1,1,,9,0.32,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3ca1,NRS,Darwin,DAR20110627,2011-06-27,2011-06-27 08:45:00,-12.4,130.768,8,14,DAR20110627_14,32.888,1,1931.42,1,2203.74,1,,9,0.11,1,0.2,1,,9,0.32,1,6.3,1,,,,,,,,,,,0.004,0.021,0,0,,,0,0,0.229,0.03,0,0.014,0.011,,0.01,0,0.004,0,0,0.229,0,0.03,0,0,0.033,0,0.014,0,0,0,0,0.003,0,0,0,0,0.012,0,0,0.003,0.09,3,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3ca2,NRS,Darwin,DAR20110627,2011-06-27,2011-06-27 14:31:00,-12.4,130.768,8,6,DAR20110627_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.012,0,0,,,0,0,0.112,0,0,0.006,0,,0,0,0.003,0,0,0.112,0,0,0,0,0.009,0,0.005,0,0,0,0,0,0,0,0,0,0.005,0,0,0.002,0.09,3,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3ca3,NRS,Darwin,DAR20110627,2011-06-27,2011-06-27 14:31:00,-12.4,130.768,8,WC,DAR20110627_WC,,,,,,,,,,,,,,,,,,,0.2,1.5,1.7,1,0,6,112324,1,2273.5,1,0.003,0.018,0,0.005,,,0,0,0.219,0,0,0.016,0.011,,0.01,0,0.006,0,0,0.219,0,0,0,0,0.036,0,0.012,0,0,0,0,0.003,0.004,0,0,0,0.007,0,0,0.003,0.095,3,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3ca4,NRS,Darwin,DAR20111005,2011-10-05,2011-10-05 09:31:00,-12.4,130.768,2.1,0,DAR20111005_0,33.722,1,1993.13,1,2267.87,1,,9,0.08,1,0.2,1,,9,0.29,1,6.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3ca5,NRS,Darwin,DAR20111005,2011-10-05,2011-10-05 09:31:00,-12.4,130.768,2.1,10,DAR20111005_10,33.742,1,1988.61,1,2266.31,1,,9,0.04,1,0.1,1,,9,0.26,1,6.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3ca6,NRS,Darwin,DAR20111005,2011-10-05,2011-10-05 09:31:00,-12.4,130.768,2.1,20,DAR20111005_20,33.72,1,1983.96,1,2260.35,1,,9,0.1,1,0.1,1,,9,0.25,1,6.4,1,,,,,,,,,,,0.012,0.042,0,0.017,,,0.007,0,0.617,0.075,0.022,0.039,0.016,,0,0,0.016,0,0,0.617,0,0.075,0,0,0.192,0,0.011,0,0,0,0,0.007,0,0,0,0,0.027,0,0,0.005,0.09,1,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3ca7,NRS,Darwin,DAR20111005,2011-10-05,2011-10-05 10:30:00,-12.4,130.768,2.1,6,DAR20111005_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.05,0,0.013,,,0.006,0,0.758,0.091,0.026,0.046,0.014,,0,0,0.017,0,0,0.758,0,0.091,0,0,0.19,0,0.017,0,0,0,0,0.008,0,0,0,0,0.033,0,0,0.008,0.123,1,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3ca8,NRS,Darwin,DAR20111005,2011-10-05,2011-10-05 09:45:00,-12.4,130.768,2.1,WC,DAR20111005_WC,,,,,,,,,,,,,,,,,,,1.1,6.6,7.7,2,0,6,117668.5,1,4867,1,0.019,0.038,0,0.007,,,0.006,0,0.655,0.083,0.022,0.067,0.011,,0,0,0.02,0,0,0.655,0,0.083,0,0,0.171,0,0.014,0,0,0,0,0.01,0,0.079,0,0,0.025,0,0,0.008,0.111,1,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3ca9,NRS,Darwin,DAR20120114_2130,2012-01-14,2012-01-15 07:20:00,-12.4,130.768,2,0,DAR20120114_2130_0,33.661,1,1962.64,1,2243.91,1,,9,3.32,4,1.9,1,,9,0.65,1,4.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3caa,NRS,Darwin,DAR20120114_2130,2012-01-14,2012-01-15 07:20:00,-12.4,130.768,2,10,DAR20120114_2130_10,33.662,1,1962.82,1,2243.85,1,,9,0.27,1,0.5,1,,9,0.38,1,5.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cab,NRS,Darwin,DAR20120114_2130,2012-01-14,2012-01-15 07:20:00,-12.4,130.768,2,20,DAR20120114_2130_20,33.67,1,1961.57,1,2240.87,1,,9,2.78,4,0.4,1,,9,0.31,1,5.5,1,,,,,,,,,,,0.01,0.044,0,0,,,0,0,0.532,0.049,0.022,0.036,0,,0,0,0.016,0,0,0.532,0,0.049,0,0,0.176,0,0.016,0,0,0,0,0,0,0,0,0,0.017,0,0,0.004,0.101,1,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cac,NRS,Darwin,DAR20120114_2130,2012-01-14,2012-01-15 07:25:00,-12.4,130.768,2,6,DAR20120114_2130_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.042,0,0,,,0,0,0.583,0.054,0.018,0.033,0,,0,0,0.014,0,0,0.583,0,0.054,0,0,0.141,0,0.018,0,0,0,0,0,0,0,0,0,0.018,0,0,0.006,0.116,1,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cad,NRS,Darwin,DAR20120114_2130,2012-01-14,2012-01-15 07:05:00,-12.4,130.768,2,WC,DAR20120114_2130_WC,,,,,,,,,,,,,,,,,,,,,,,0,6,56359,1,2149.5,1,0.013,0.049,0,0,,,0,0,0.726,0.042,0.047,0.054,0,,0,0,0.027,0,0,0.726,0,0.042,0,0,0.297,0,0.016,0,0,0,0,0.006,0,0.151,0,0,0.018,0,0,0.005,0.119,1,,POINT (130.76805 -12.4)
