Weekly average TAN flux umol L-1 h-1,Biomass yield gDW m-2 d-1,species,month
5.053191489,19.1198786,A. armata,dec
10.90425532,43.3383915,A. armata,dec
15.95744681,45.46282246,A. armata,dec
27.39361702,49.92412747,A. armata,dec
54.25531915,54.81031866,A. armata,dec
109.0425532,70.74355083,A. armata,dec
4.526091587,25.27433628,A. armata,may
21.56549521,44.60176991,A. armata,may
47.92332268,77.09734513,A. armata,may
84.39829606,90.90265487,A. armata,may
120.3407881,114.6902655,A. armata,may
209.5314164,124.8849558,A. armata,may
5.607255029,19.50948575,U. rigidia,dec
11.17472234,18.01873238,U. rigidia,dec
16.76349015,27.77038066,U. rigidia,dec
28.19582792,41.75825545,U. rigidia,dec
54.72579631,44.27557215,U. rigidia,dec
108.8362896,43.79393981,U. rigidia,dec
8.865050116,50.54867257,U. rigidia,may
25.04166569,48.84955752,U. rigidia,may
48.40308913,57.55752212,U. rigidia,may
85.83366588,71.15044248,U. rigidia,may
121.3816577,73.0619469,U. rigidia,may
192.2048778,73.48672566,U. rigidia,may
