Biofiltration (g N m-2 d-1),Weekly average TAN flux umol L-1 h-1,species,month,measure
4.060913706,1.656626506,A. armata,dec,N_yield
10.15228426,2.590361446,A. armata,dec,N_yield
14.97461929,2.861445783,A. armata,dec,N_yield
26.14213198,3.102409639,A. armata,dec,N_yield
53.29949239,3.328313253,A. armata,dec,N_yield
108.3756345,4.231927711,A. armata,dec,N_yield
4.060913706,0.707831325,A. armata,dec,N_removal
10.15228426,1.521084337,A. armata,dec,N_removal
14.97461929,1.370481928,A. armata,dec,N_removal
26.14213198,2.18373494,A. armata,dec,N_removal
53.04568528,2.424698795,A. armata,dec,N_removal
108.3756345,2.861445783,A. armata,dec,N_removal
4.843500441,1.054613936,A. armata,may,N_yield
22.10016925,2.365348399,A. armata,may,N_yield
48.24477342,4.534839925,A. armata,may,N_yield
84.71858686,5.107344633,A. armata,may,N_yield
120.7127703,6.52354049,A. armata,may,N_yield
209.6030895,7.457627119,A. armata,may,N_yield
5.084268993,0.662900188,A. armata,may,N_removal
21.84414408,2.274952919,A. armata,may,N_removal
48.48220458,4.037664783,A. armata,may,N_removal
84.69808577,4.459510358,A. armata,may,N_removal
120.694653,5.951035782,A. armata,may,N_removal
209.5716227,6.463276836,A. armata,may,N_removal
5.069708492,1.144578313,U. rigidia,dec,N_yield
10.64638783,0.873493976,U. rigidia,dec,N_yield
15.96958175,1.686746988,U. rigidia,dec,N_yield
27.37642586,2.409638554,U. rigidia,dec,N_yield
54.49936629,2.620481928,U. rigidia,dec,N_yield
108.4917617,2.680722892,U. rigidia,dec,N_yield
5.536173752,145.2405179,U. rigidia,dec,N_removal
11.21819943,153.2316364,U. rigidia,dec,N_removal
17.15086059,152.5837078,U. rigidia,dec,N_removal
29.31264887,163.3825165,U. rigidia,dec,N_removal
58.16962451,161.438731,U. rigidia,dec,N_removal
115.6506041,174.1813252,U. rigidia,dec,N_removal
8.75337851,14.35895684,U. rigidia,may,N_yield
26.03433679,22.56605143,U. rigidia,may,N_yield
50.86443572,29.26131281,U. rigidia,may,N_yield
90.814299,42.65183556,U. rigidia,may,N_yield
128.5719373,40.49207383,U. rigidia,may,N_yield
204.0986715,41.35597852,U. rigidia,may,N_yield
8.736669478,6.79979077,U. rigidia,may,N_removal
26.0372012,23.86190847,U. rigidia,may,N_removal
50.88735097,39.62816913,U. rigidia,may,N_removal
90.56127652,50.21100163,U. rigidia,may,N_removal
128.6234966,63.81750056,U. rigidia,may,N_removal
204.146889,63.16957204,U. rigidia,may,N_removal
