Total sporophyte growth SI,,Total sporophyte growth CC,,Total sporophyte growth TS,,Blade growth SI,,Blade growth CC,,Blade growth TS,,Stipe growth SI,,Stipe growth CC,,Stipe growth TS,,Erosion SI,,Erosion CC,,Erosion TS,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.004212541,0.395214347,0.992485228,0.720515159,0.996270865,0.357262274,1.004051469,0.222386527,1.000924775,0.416323827,1.003056344,0.284110451,0.99269199,0.049061314,0.990216638,0.087901553,0.985120665,0.042861387,1.001728608,0.148482843,1.001728608,0.259711178,1.001728608,0.000178397
1.981886213,0.181994055,1.979494293,0.411512047,1.977058427,0.645246905,2.002838786,0.271288961,2.010935216,0.269097269,2.007979283,0.45244289,1.988266082,0.052717842,1.982129996,0.148997871,1.986906381,0.074052621,1.978824546,-0.106122817,1.978824546,-0.0111718,1.978824546,0.141654123
2.991376812,0.115762779,2.986969652,0.538654198,2.991345422,0.118774826,3.012637248,0.137210694,3.008727409,0.379723627,3.010652887,0.260293312,2.976408304,0.04798626,2.973189183,0.098496806,2.983503153,0.061662477,2.988764045,-0.022071412,2.988764045,0.01681329,2.980553155,-0.244075543
3.99731406,0.39049524,3.989949961,0.2971215,3.998544549,0.272422992,3.985851625,0.272308414,3.978661996,0.218254636,3.987529794,0.168217772,3.981076121,0.033955056,3.971180521,0.064224838,3.971064307,0.066048323,3.998703544,0.101316843,3.990492653,0.016765613,3.998703544,0.082326639
5.992526733,0.138754786,5.989218224,0.456224554,5.98907383,0.470079971,5.995685727,0.109703753,5.993200859,0.263830948,5.993925121,0.218907619,5.996019068,0.042909478,5.994589639,0.065338349,5.993962084,0.07518517,5.98573898,-0.016788279,5.98573898,0.151862813,5.98573898,0.212450605
9.977829226,0.12683997,9.969184414,0.156357753,7.984864079,0.162917849,9.978699185,0.058053181,9.978104465,0.094941444,7.995539139,0.066164487,9.987606722,0.036747933,9.987548615,0.037659675,7.986284026,0.064081023,9.992653414,0.037730885,9.992653414,0.025975045,7.972774417,0.038731316
12.0023539,0.262449894,11.99328219,0.332931518,9.985990633,0.143707713,11.99249023,0.150013745,11.9837932,0.189458929,9.986295108,0.086906067,11.97970786,0.029108408,11.98020758,0.021267421,9.987606722,0.036747933,11.97968885,0.099580549,11.97968885,0.143438876,10.0008643,0.02100103
14.98040077,0.102308597,14.97741244,0.389055485,11.99328219,0.332931518,14.99212609,0.093652988,14.99808506,0.224039903,11.98356355,0.203702912,15.00658779,0.034972615,15.00455405,0.066883609,11.98801133,0.023820377,14.99308557,-0.031685706,14.98487468,0.117071279,11.97968885,0.127161558
15.98813352,0.204751961,15.98032996,0.153546881,14.97179362,0.128211923,15.97543892,0.102380707,15.97563912,0.089962876,14.99903308,0.165237821,16.00868728,0.061240438,16.00061624,0.062881498,14.99819135,0.041719434,16.00302506,0.047844222,15.99481417,-0.002343782,14.98487468,-0.09362955
18.99871301,0.122925006,18.98967896,0.189792174,15.98964025,0.060173698,18.99061992,0.081811902,18.9902254,0.106282333,15.97523283,0.115163768,19.00725755,0.011305686,18.99090627,0.01787008,15.99321923,0.053946344,19,0.055840241,18.99178911,0.180633398,15.99481417,-0.133014468
,,,,18.98956596,0.200635543,,,,,18.99030784,0.101169109,,,,,18.99076682,0.020058263,,,,,18.99178911,0.095177482
