Stipe length SI,,Stipe length CC,,Stipe length TS,,Stipe diameter SI,,Stipe diameter CC,,Stipe diameter TS,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.951503327,15.06722463,0.951376711,14.41981461,0.95139619,14.51941615,0.954871795,1.17709438,0.964615385,1.285259809,0.964615385,1.04135737
1.879855319,11.87754034,1.880848771,16.95721901,1.87118696,17.5548539,1.919487179,1.119830329,1.919487179,1.219512195,1.919487179,1.198303287
2.828845796,14.2156904,2.839335484,17.85112107,2.829274344,16.40692433,2.835384615,1.266171792,2.845128205,1.253446448,2.835384615,1.297985154
3.806889884,15.10954119,3.806510035,13.16731111,3.807065199,16.00595508,3.8,1.06892895,3.80974359,1.094379639,3.79025641,1.181336161
5.69513111,19.98507002,5.697458905,31.88745436,5.686628326,26.50899669,5.70974359,1.187698834,5.719487179,1.325556734,5.70974359,1.174973489
9.500550295,27.69421916,9.509715379,24.55674494,7.583684006,26.45422353,9.50974359,1.126193001,9.519487179,1.170731707,7.59025641,1.240721103
11.38640529,20.36855903,11.39461588,12.35060922,9.50863427,19.02885933,11.39025641,1.128313892,11.4,0.844114528,9.519487179,1.011664899
14.24208404,21.90489872,14.25087901,16.87499519,11.38517808,14.09366185,14.23538462,1.111346766,14.25487179,1.030752916,11.39025641,1.011664899
15.17132234,23.24708462,15.18053613,20.35861425,14.24973946,11.04830495,15.2,1.109225875,15.20974359,0.967126193,14.24512821,0.98621421
18.0369064,25.43080871,18.03631227,22.39296166,15.17903621,12.68929547,18.04512821,1.213149523,18.05487179,0.608695652,15.2,0.808059385
,,,,18.03532856,17.36308376,,,,,18.04512821,0.682926829
