Blade length SI,,Blade length CC,,Blade length TS,,Blade width SI,,Blade width CC,,Blade width TS,,No of secondary blades SI,,No of secondary blades CC,,No of secondary blades TS,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.956627582,24.59687913,0.968196538,34.31499603,0.959240648,36.95599048,0.951903808,29.85242896,0.951903808,24.03752791,0.951903808,28.38560707,0.947291124,25.90172356,0.95561641,23.09825106,0.948014563,27.68569767
1.918927973,31.02449088,1.93147962,45.39047871,1.922881072,49.72160804,1.903807615,24.13442718,1.922845691,30.31587622,1.913326653,26.22980828,1.900346791,19.43689041,1.904411827,29.4611259,1.887003369,33.19914565
2.87959799,29.74086221,2.891769961,42.31108172,2.882903406,45.37460989,2.865230461,24.3360207,2.865230461,28.68409986,2.865230461,25.80284259,2.847936478,22.82647507,2.848797714,24.95025378,2.841126969,29.3677981
3.784209939,33.31732346,3.813534338,37.01401746,3.79426019,35.8523671,3.779058116,20.8185667,3.788577154,27.20964047,3.788577154,20.18985001,3.794699377,24.17723217,3.80760644,32.67226239,3.784272675,21.79868464
5.716560581,37.82734726,5.718190955,45.53858768,5.709168063,47.86268183,5.69238477,24.52218173,5.701903808,34.52792372,5.701903808,35.26133466,5.687846232,25.94428375,5.704496802,20.33733874,5.699719811,31.89077951
9.507470687,57.83454113,9.530496929,31.74260778,7.609424902,35.57746628,9.509519038,31.24846608,9.519038076,22.60461552,7.605711423,28.54011574,9.500057416,46.72330077,9.501527259,27.01454976,7.589215024,24.65300937
11.38624232,33.92996562,11.40314908,23.89447236,9.521094361,32.27093362,11.38476954,22.79872901,11.40380762,16.40741903,9.519038076,22.44745603,11.38386847,25.46859116,11.39945111,17.22816056,9.481776238,24.97589142
14.27075377,41.9100238,14.2786823,34.40989156,11.39410385,26.11293309,14.25,29.53288708,14.26903808,22.14623368,11.39428858,18.86966307,14.25088994,25.44295351,14.25182008,27.73663452,11.39147031,20.88114454
15.22773869,23.19687913,15.23955332,34.07696377,14.27830262,32.61412325,15.23046092,22.76691917,15.23046092,22.55737319,14.25951904,21.51767446,15.19562033,21.78159287,15.20677047,25.94411452,14.25178563,27.65168337
18.05681742,38.99476329,18.05422669,26.74128537,15.23032942,35.45035705,18.04809619,26.56782716,18.04809619,18.91939875,15.23046092,24.02419507,18.04716251,30.25123927,18.04382092,22.01097789,15.2006155,34.09950937
,,,,18.05420436,26.63565194,,,,,18.03857715,19.02425048,,,,,18.04413096,22.77553823
