Base thickness SI,,Base thickness CC,,Base thickness TS,,Middle thickness SI,,Middle thickness CC,,Middle thickness TS,,Distal thickness SI,,Distal thickness CC,,Distal thickness TS,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.949809504,0.290844612,0.971674002,0.35489374,0.961789154,0.359470332,0.942966019,0.125631313,0.959163021,0.277146465,0.938356495,0.261363636,0.94397463,0.068443357,0.94397463,0.195704339,0.954016913,0.115600639
2.861905677,0.258542211,2.875744464,0.392134982,2.865728691,0.39213643,1.910685947,0.11489899,1.916034013,0.247474747,1.904472002,0.210858586,1.897991543,0.069056916,1.908033827,0.095542363,1.897991543,0.094250714
3.802628977,0.231870348,3.825855096,0.34350098,3.806163955,0.355399249,2.857777617,0.09280303,2.873669015,0.236742424,2.864551835,0.260732323,2.852008457,0.056750578,2.86205074,0.080652045,2.852008457,0.090342309
5.705416373,0.224275174,5.718626719,0.335907253,5.70727551,0.289242226,3.776550001,0.118686869,3.790786045,0.221590909,3.770208722,0.211489899,3.80602537,0.056072147,3.80602537,0.10193778,3.80602537,0.10064579
9.502363199,0.257582805,9.514604699,0.335358814,7.611948228,0.347529133,5.681378541,0.088383838,5.704731766,0.16729798,5.682728291,0.121843434,5.704016913,0.063113559,5.714059197,0.103810892,5.704016913,0.079263429
11.40512441,0.249072602,11.41993204,0.416521443,9.516228171,0.392090606,9.514159643,0.101010101,9.519685979,0.238005051,7.6010798,0.176767677,9.510042283,0.054586222,9.510042283,0.061692165,7.61205074,0.081782536
14.26014343,0.266960766,15.22380481,0.341854217,11.40910453,0.388156994,11.38129705,0.136363636,11.38779113,0.297348485,9.510950803,0.271464646,11.36786469,0.063566984,11.37790698,0.115892224,9.510042283,0.094637901
15.22116012,0.249436298,18.0781692,0.336866658,14.26265719,0.35480354,14.2557046,0.141414141,14.2690493,0.222222222,11.3859575,0.251893939,14.23995772,0.065407318,14.25,0.094476744,11.37790698,0.094574395
18.0662681,0.270986025,,,15.2150721,0.38669208,15.21377254,0.141414141,15.22693898,0.21780303,14.25929545,0.230429293,15.19397463,0.060206923,15.19397463,0.073772815,14.23995772,0.07897321
,,,,18.06028482,0.411901922,18.04740746,0.135732323,18.05051443,0.212752525,15.21891688,0.268939394,18.05602537,0.053649666,18.06606765,0.059463278,15.19397463,0.084108732
,,,,,,,,,,18.04351101,0.289141414,,,,,18.05602537,0.099515299
